20	19
53	17
89	18
126	14
158	14
195	20
229	20
270	20
305	15
341	14
374	17
411	18
447	15
481	16
15	54
52	53
88	54
124	52
162	55
195	55
233	55
265	57
300	55
337	52
372	56
413	56
446	54
480	52
19	87
55	87
90	86
127	86
161	90
196	91
231	90
267	87
305	86
340	92
374	89
407	92
443	88
481	88
18	122
50	126
86	121
128	122
163	124
193	122
229	126
265	124
305	123
339	125
375	128
413	127
447	125
484	126
15	163
50	160
90	159
122	162
161	163
196	160
230	158
265	164
306	161
338	157
376	157
411	162
449	161
483	160
20	198
52	197
88	196
123	193
157	196
199	198
230	195
268	195
300	195
340	194
376	196
411	194
445	197
479	198
20	231
53	231
86	229
128	230
157	228
199	228
233	229
267	232
300	229
340	229
372	231
410	229
448	232
479	229
21	268
51	270
92	268
125	271
159	268
194	270
230	271
267	268
302	271
342	268
377	264
410	268
443	265
480	269
20	305
52	306
87	300
122	302
163	301
193	302
235	304
269	305
306	301
336	305
376	303
408	303
443	301
483	300
16	338
53	342
91	337
126	342
160	339
198	337
232	342
265	336
303	336
336	337
377	336
409	337
447	338
485	340
18	374
56	372
90	372
127	376
162	378
199	378
229	372
269	373
306	376
336	372
374	375
412	372
449	377
482	376
18	407
53	408
92	407
127	409
159	410
194	411
230	412
266	408
302	411
342	414
375	410
409	412
447	410
485	409
17	446
51	449
86	449
124	448
159	447
194	448
232	448
266	445
306	444
337	444
377	445
410	444
447	449
482	443
19	484
53	478
88	482
121	480
160	480
197	480
233	481
265	483
305	482
342	479
373	479
411	479
443	480
483	483
402	256
396	369
7	374
246	77
