8	13
44	17
66	10
101	8
127	9
151	10
181	9
211	16
234	18
266	12
290	12
314	15
344	11
375	15
401	11
426	14
461	9
482	12
19	44
45	43
72	43
96	42
130	47
148	36
182	44
208	42
241	42
259	43
294	40
324	41
347	42
377	42
408	37
428	38
459	38
490	37
13	71
42	65
66	73
95	64
125	66
154	72
175	72
204	70
233	65
268	72
294	69
315	67
350	66
369	66
405	72
426	74
460	70
481	73
9	101
37	94
65	99
91	100
129	99
148	101
176	95
213	94
232	101
268	96
297	93
313	94
342	102
374	98
404	97
426	92
457	93
480	95
14	119
39	121
67	129
95	124
120	129
154	126
175	124
207	122
241	122
267	130
288	128
321	121
345	126
370	124
405	129
435	119
455	128
483	129
9	157
45	158
74	153
100	148
129	151
153	147
182	151
204	157
235	152
266	149
292	151
320	155
345	156
371	152
405	148
427	156
452	147
482	152
10	185
45	178
68	176
99	177
129	178
149	182
184	184
206	179
232	186
262	185
289	178
316	185
352	180
377	182
405	175
429	180
460	177
484	177
12	204
47	209
64	206
102	206
121	210
150	205
180	205
212	205
231	203
265	212
287	205
316	206
347	210
375	209
400	207
426	203
453	209
487	204
18	236
38	231
74	230
95	236
124	238
153	235
181	235
204	233
236	240
258	231
290	231
322	234
350	236
373	236
398	232
427	238
459	234
482	234
15	258
38	265
74	265
94	264
119	259
156	259
185	258
203	261
232	269
259	264
289	264
316	266
343	262
375	260
400	266
434	260
453	261
483	259
17	296
36	290
64	296
97	294
127	293
149	289
182	295
204	288
232	287
266	292
290	295
319	295
352	295
378	291
399	294
435	292
453	295
481	287
13	321
41	316
66	319
98	319
129	322
148	321
175	314
203	322
234	319
264	318
296	313
324	316
351	320
374	321
401	316
433	318
453	320
487	319
9	352
42	343
66	351
101	349
124	344
155	350
180	347
207	347
236	348
266	342
289	344
320	351
342	347
373	346
407	347
435	347
454	348
484	342
17	371
45	377
67	372
93	376
130	370
154	379
185	379
203	371
238	380
265	373
292	371
322	369
345	377
373	373
406	379
429	371
454	374
490	372
11	406
46	403
72	404
98	402
127	398
154	402
180	405
212	397
235	406
265	398
296	405
324	397
344	408
373	400
403	405
433	400
456	404
487	399
12	426
40	425
68	425
102	432
127	434
151	431
178	433
202	431
238	425
268	426
293	427
318	435
343	430
375	434
405	430
429	435
456	428
485	433
16	457
39	458
64	455
94	453
129	460
152	458
178	453
213	461
233	455
264	457
293	457
323	463
342	459
370	458
399	461
429	453
454	458
483	459
16	482
38	487
71	486
98	488
123	487
149	486
175	491
202	483
233	491
266	491
293	489
315	488
352	486
374	485
398	489
435	491
457	487
485	489
159	406
25	145
38	343
364	372
196	342
405	127
26	473
266	347
425	69
235	254
494	271
161	183
377	376
109	250
311	202
226	254
398	107
336	112
358	362
86	269
310	253
220	392
129	133
236	109
173	172
120	101
