21	21
63	23
96	22
112	7
149	11
174	15
207	28
259	22
278	14
323	21
348	14
370	6
414	20
452	7
470	10
11	50
47	49
73	51
109	38
154	42
183	50
211	57
260	53
291	39
304	57
360	40
377	48
410	58
456	52
478	45
18	92
44	71
74	95
117	88
152	85
175	91
203	72
261	76
291	87
323	80
346	77
376	91
419	92
441	92
478	85
11	117
60	126
94	125
116	115
148	112
185	109
208	108
262	109
281	124
327	104
357	119
385	112
416	103
458	124
478	114
16	145
44	161
82	137
108	145
145	141
174	148
227	148
255	150
286	140
327	136
347	158
387	140
423	154
444	162
479	160
20	173
37	171
90	173
127	187
156	174
185	186
222	177
248	182
281	178
311	172
341	178
384	191
427	183
443	178
477	186
4	217
58	211
91	208
114	206
156	223
176	205
210	215
242	210
281	206
309	209
350	215
385	208
428	203
450	226
476	218
13	248
60	244
85	243
115	244
154	250
194	246
212	254
239	242
284	255
310	244
360	257
380	238
403	258
456	259
476	257
18	294
51	292
88	278
118	294
154	270
188	295
218	294
251	292
292	292
327	279
345	276
377	276
417	281
461	278
476	271
17	323
44	320
90	322
106	304
150	303
173	308
219	317
239	312
282	329
310	317
336	307
393	314
419	329
452	312
491	305
3	347
57	350
80	361
119	337
138	359
188	349
225	358
239	356
286	357
312	362
358	351
391	347
422	338
457	340
473	345
16	381
42	371
74	373
123	387
161	388
180	371
215	386
248	391
285	374
327	373
356	391
389	386
418	376
455	386
475	388
10	410
56	410
70	420
119	421
152	422
170	415
204	427
240	411
295	408
319	403
351	418
381	420
421	411
444	426
484	429
28	451
50	438
91	454
127	439
157	457
185	457
218	460
257	448
285	458
305	447
354	446
372	455
422	453
459	453
495	448
13	473
40	486
83	470
114	495
150	480
178	470
208	474
263	492
272	488
317	495
343	493
393	493
427	474
462	475
495	493
410	369
269	92
175	291
29	137
235	30
99	292
392	45
468	463
253	249
380	183
485	240
55	45
450	62
256	128
13	433
352	5
238	281
331	114
79	322
219	289
473	21
217	486
137	273
473	14
89	446
